p,q,aic,bic
13,22,-47901.06555520979,-47630.51175051696
13,23,-47898.431796701625,-47620.5657270171
13,24,-47897.10699480485,-47611.92866012863
13,25,-47896.30804265965,-47603.81744299173
13,26,-47895.73838095761,-47595.93551629799
14,0,-47928.0937843665,-47811.09754449933
14,1,-47926.071520910904,-47801.763016052035
14,2,-47924.06275011683,-47792.44198026626
14,3,-47922.21690050684,-47783.283865664576
14,4,-47920.21312107621,-47773.967821242244
14,5,-47911.261873485324,-47757.70430865966
14,6,-47916.302958571825,-47755.43312875447
14,7,-47914.29775946475,-47746.1156646557
14,8,-47912.252201396856,-47736.7578415961
14,9,-47910.15939718396,-47727.35277239151
14,10,-47909.048848995575,-47718.929959211426
14,11,-47915.69582871063,-47718.264673934784
14,12,-47911.116743046354,-47706.37332327881
14,13,-47901.89794576471,-47689.84226100546
14,14,-47906.755640600764,-47687.38769084982
14,15,-47902.16271484121,-47675.482500098566
14,16,-43386.26248984001,-43152.27001010567
14,17,-47908.24027680958,-47666.93553208354
14,18,-47904.35029552379,-47655.733285806054
14,19,-47905.45162876814,-47649.5223540587
14,20,-47904.12834813713,-47640.886808436
14,21,-47901.84340678318,-47631.28960209035
14,22,-47897.23001296201,-47619.36394327749
14,23,-47894.740361904696,-47609.56202722847
14,24,-47893.56558556788,-47601.074985899955
14,25,-47896.03606811835,-47596.23320345873
14,26,-47895.25261774905,-47588.13748809773
15,0,-47927.059600721914,-47802.751095863045
15,1,-47925.06853998188,-47793.447770131315
15,2,-47923.070416990086,-47784.13738214782
15,3,-47921.12491063897,-47774.87961080501
15,4,-47919.115250728886,-47765.55768590322
15,5,-47917.10603025507,-47756.236200437714
15,6,-47917.75339001153,-47749.57129520248
15,7,-47913.24181547241,-47737.747455671655
15,8,-47911.15615584806,-47728.34953105561
15,9,-47909.10545844873,-47718.98656866458
15,10,-47907.71414515278,-47710.28299037693
15,11,-47913.87608212078,-47709.13266235324
15,12,-47910.60289228187,-47698.54720752263
15,13,-47901.96080530463,-47682.59285555369
15,14,-47904.63188017032,-47677.951665427674
15,15,-47903.59322383134,-47669.600744097
15,16,-47895.060489912714,-47653.755745186674
15,17,-47908.36658698619,-47659.74957726845
15,18,-47906.19325139277,-47650.26397668333
15,19,-47905.56742936119,-47642.32588966006
15,20,-47903.69530661714,-47633.141501924314
15,21,-47901.417609254146,-47623.55153956962
15,22,-47897.47673455582,-47612.2983998796
15,23,-47895.56339555548,-47603.07279588756
15,24,-47893.12649842682,-47593.3236337672
15,25,-47896.21058818051,-47589.09545852919
15,26,-47895.35280732155,-47580.92541267853
16,0,-47925.5045020505,-47793.88373219993
16,1,-47923.51645679201,-47784.58342194974
16,2,-47921.54408988358,-47775.298790049615
16,3,-47919.613147685595,-47766.05558285993
16,4,-47917.54571307071,-47756.67588325335
16,5,-47915.52704017749,-47747.34494536844
16,6,-47916.061334819686,-47740.56697501893
16,7,-47911.72169121839,-47728.915066425936
16,8,-47909.62723618307,-47719.50834639892
16,9,-47907.57563691508,-47710.14448213923
16,10,-47906.261495941886,-47701.51807617434
16,11,-47904.49117486632,-47692.43549010708
16,12,-47901.27544740302,-47681.90749765208
16,13,-47899.170986787525,-47672.49077204488
16,14,-47906.253323615165,-47672.260843880824
16,15,-47895.12695313282,-47653.82220840678
16,16,-47893.06654050845,-47644.44953079071
16,17,-47905.093809861566,-47649.16453515213
16,18,-47906.31777195343,-47643.07623225229
16,19,-47890.50653801651,-47619.952733323684
16,20,-47887.96245593849,-47610.096386253965
16,21,-47889.14929555364,-47603.970960877414
16,22,-47899.78221348014,-47607.29161381222
16,23,-47897.811143276915,-47598.00827861729
16,24,-47892.838915735716,-47585.723786084396
16,25,-47896.11089204192,-47581.6834973989
16,26,-47895.47805585729,-47573.73839622257
17,0,-47925.4965897309,-47786.563554888635
17,1,-47923.486125461066,-47777.2408256271
17,2,-47921.50278405362,-47767.94521922796
17,3,-47919.51513117018,-47758.64530135282
17,4,-47917.559209540384,-47749.37711473133
17,5,-47915.565030252794,-47740.07067045204
17,6,-47913.89186218981,-47731.08523739736
17,7,-47911.71370617968,-47721.59481639553
17,8,-47909.71412305343,-47712.282968277585
17,9,-47907.680457861745,-47702.9370380942
17,10,-47905.50767818082,-47693.45199342157
17,11,-47903.50611582206,-47684.13816607112
17,12,-47903.39994451584,-47676.7197297732
17,13,-47899.85445423926,-47665.86197450492
17,14,-47899.664550203306,-47658.35980547727
17,15,-47895.08340409699,-47646.466394379255
17,16,-47894.66412128962,-47638.734846580184
17,17,-47902.7280799053,-47639.48654020416
17,18,-47898.55384714719,-47628.00004245436
17,19,-47891.5544668855,-47613.688397200975
17,20,-47885.93227010779,-47600.75393543157
17,21,-47887.732260733756,-47595.24166106583
17,22,-47905.47714574791,-47605.674281088286
17,23,-47905.06998656539,-47597.95485691407
17,24,-47897.41821812924,-47582.99082348622
17,25,-47903.20866350683,-47581.46900387212
17,26,-47895.63459691655,-47566.58267229013
18,0,-47923.65063274733,-47777.40533291337
18,1,-47921.64279086939,-47768.085226043724
18,2,-47919.66834718912,-47758.79851737177
18,3,-47917.64003376458,-47749.45793895553
18,4,-47915.73102155556,-47740.23666175481
18,5,-47913.74143625391,-47730.93481146146
18,6,-47911.72709661418,-47721.60820683003
18,7,-47909.92407199067,-47712.49291721482
